20241220	14:00:20	720a9bc2-ab18-40a8-9f78-71d83e7bc387	POST	undefined	/register
20241220	14:00:34	d8419f44-11b4-4664-9f39-419d5890b627	POST	undefined	/register
20241220	14:03:39	c6142307-08de-454c-9921-523012201f9b	POST	undefined	/register
20241220	14:16:30	873ee5b3-572e-44f3-b6b4-2b33ae4604a8	POST	undefined	/auth
20241220	14:17:04	7287c7e1-67eb-40cf-99b7-16eaff511c15	POST	undefined	/auth
20241220	14:17:15	b861c374-152d-4a33-95c0-78224b9801bc	POST	undefined	/auth
20241220	14:17:22	9151e17e-515b-4742-af80-5333d6656f3b	POST	undefined	/auth
20241220	14:17:30	0a0f9e81-9e8a-4607-8574-66bae0cc90f4	POST	undefined	/auth
20241220	14:17:42	902c8915-b853-4856-9281-f61d02b4c38f	POST	undefined	/auth
20241220	14:18:10	cafe5c1e-46c8-46e2-8529-bdf5031b4dc9	POST	undefined	/register
20241221	20:00:01	1db4fe3c-f70b-4692-9774-1e84f61a7412	POST	undefined	/auth
20241221	20:03:12	3e756054-e771-4b1f-a911-3b398dbdaf20	POST	undefined	/auth
20241221	20:08:37	3589ef37-d6ae-4946-a172-2c960ef9063f	POST	undefined	/auth
20241221	20:09:17	d9a9a711-717f-4d46-98df-7cdb94fa6509	GET	undefined	/employees
20241221	20:09:36	7273cda2-db6f-4618-9697-1787e67d896e	POST	undefined	/auth
20241221	20:09:50	fdcac424-7933-45ca-bff9-487286d2670f	GET	undefined	/employees
20241221	20:14:53	8405517b-e951-4aa6-97ed-5f0a72f430f8	POST	undefined	/auth
20241221	20:15:08	4885c266-5848-4c15-8690-4788b3e48d18	GET	undefined	/employees
20241221	20:15:30	dbc252fd-e96a-4405-ab6c-f6cc74d7a528	POST	undefined	/auth
20241221	20:15:44	be7a4cab-298b-4cf3-9e42-a9a7eee63484	POST	undefined	/employees
20241221	20:16:36	e3ff97be-768b-4444-a501-eb15f3bef068	POST	undefined	/auth
20241221	20:16:57	7c17168b-aaa4-4424-86ea-0425fa44deaf	POST	undefined	/employees
20241221	20:44:09	23b7d6be-c75f-41aa-8db4-90491f617e68	POST	undefined	/auth
20241221	20:45:26	35d40467-f93a-4893-b18e-138aeadcca58	GET	undefined	/employees
20241221	20:45:35	a292bad7-93e9-43d5-bbf4-3e76775abb74	POST	undefined	/auth
20241221	20:45:40	fa51a833-e26b-42ca-a5db-596ebe389543	GET	undefined	/employees
20241221	20:47:28	cff32344-d12d-41bb-a717-f16c3685a2e6	POST	undefined	/auth
20241221	20:47:44	cd4bf4bd-387a-48a5-8d47-700476960732	GET	undefined	/refresh
20241221	20:48:10	ed277460-b23b-4c77-86d2-04bf20f5f75c	POST	undefined	/auth
20241221	20:48:28	dd4d4564-6b33-4fdc-9804-f56e81514008	GET	undefined	/refresh
20241221	20:49:42	b2203100-680f-436b-a819-2190c3de8208	GET	undefined	/refresh
20241221	21:13:03	89ef8bba-e56e-4d94-9bc1-5ddc4e3acedd	POST	undefined	/auth
20241221	21:13:10	7bca5deb-ef30-4573-a50b-f95c0f407f81	GET	undefined	/logout
20241221	21:14:12	b0b97a2f-7151-4354-b367-b208fb005559	POST	undefined	/auth
20241221	21:14:24	33de218c-a3f2-461f-b363-950813828343	GET	undefined	/logout
20241221	21:14:47	60918675-7d8a-44b9-8a5f-e892c579cf27	GET	undefined	/refresh
20241221	21:15:42	daa06c82-25a7-4405-bdab-36eeb229892c	POST	undefined	/auth
20241221	21:15:46	eaf521ba-fd20-43fa-8e35-73e85921ce81	GET	undefined	/logout
20241221	21:15:50	3038722c-aa08-4f19-b3a3-35836dc85b05	GET	undefined	/refresh
20241223	09:42:09	cb76bee0-f251-46af-8d2c-a76f031c01b7	POST	undefined	/auth
20241223	09:42:40	f6f4452d-8c2c-48b3-9d58-ae9ce0599073	GET	undefined	/employees
20241223	09:42:50	513fd408-4a29-4d1b-bb09-8b221bda6350	POST	undefined	/auth
20241223	09:43:04	cfaac625-3b7d-4908-b6d2-824aa598537b	GET	undefined	/employees
20241223	09:43:22	1e66c419-8162-45ca-84d2-e12cab204056	GET	undefined	/employees
20241223	09:43:31	2d21a962-e201-4c72-a6e0-01faf13db475	POST	undefined	/auth
20241223	09:43:50	36479148-e146-4713-b48f-57817aa4041f	POST	undefined	/employees
20241223	09:45:41	91920975-7f02-47ee-8a3e-d7313e68abe6	POST	undefined	/auth
20241223	09:46:54	c3ce540e-8bab-4638-b3ef-b9c9483ada3c	POST	undefined	/auth
20241223	09:47:23	0ab7a1d6-b194-485b-a0e9-040ed4eeeb2a	DELETE	undefined	/employees
20241223	09:50:10	9889442f-daf6-4a26-b3f6-f91769c1ffcb	POST	undefined	/auth
20241223	11:26:45	71a8c7ee-a2e4-42a0-81ef-01aab41a80a9	POST	undefined	/register
20241223	11:27:51	ed06fe20-4ccd-405e-a49d-0b9c47d306b2	POST	undefined	/register
20241223	13:11:09	194ff533-f645-4353-800d-ca7385ad3a95	POST	undefined	/auth
20241223	13:11:34	47ddbbea-22ad-44fe-887e-81f3b89a5a8b	POST	undefined	/register
20241223	13:11:44	9098b24d-17a4-4ed2-bf07-4d9237cb6530	POST	undefined	/register
20241223	13:18:42	71ed53d2-b03c-43d5-b7f5-38dfbb7a6380	POST	undefined	/auth
20241223	13:19:03	04154054-4b93-46f5-993a-89bd3cc415ea	GET	undefined	/refresh
20241223	13:21:08	0fe0e8ca-d0a7-4b50-844a-015e90e3c1fc	POST	undefined	/auth
20241223	13:21:14	7d4b4aed-bb6b-462d-be13-88f3cb6c934e	GET	undefined	/logout
